"","X","Fips","year","qtr","state","gdp","revenuepop","rev_state_total","rev_local_total","popestimate","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","avg_wkly_wage"
"26",26,1,1969,2,"Alabama",11866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,1,1969,3,"Alabama",11866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,1,1969,4,"Alabama",11866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,1,1970,1,"Alabama",12475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,1,1970,2,"Alabama",12475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,1,1970,3,"Alabama",12475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,1,1970,4,"Alabama",12475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,1,1971,1,"Alabama",13624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,1,1971,2,"Alabama",13624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,1,1971,3,"Alabama",13624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,1,1971,4,"Alabama",13624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,1,1972,1,"Alabama",15356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,1,1972,2,"Alabama",15356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,1,1972,3,"Alabama",15356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,1,1972,4,"Alabama",15356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,1,1973,1,"Alabama",17428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,1,1973,2,"Alabama",17428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,1,1973,3,"Alabama",17428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,1,1973,4,"Alabama",17428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,1,1974,1,"Alabama",19454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,1,1974,2,"Alabama",19454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",47,1,1974,3,"Alabama",19454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",48,1,1974,4,"Alabama",19454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,1,1975,1,"Alabama",21346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",50,1,1975,2,"Alabama",21346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",51,1,1975,3,"Alabama",21346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",52,1,1975,4,"Alabama",21346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",53,1,1976,1,"Alabama",24324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",54,1,1976,2,"Alabama",24324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",55,1,1976,3,"Alabama",24324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,1,1976,4,"Alabama",24324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",57,1,1977,1,"Alabama",26725,496.360582010582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",58,1,1977,2,"Alabama",26725,496.360582010582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",59,1,1977,3,"Alabama",26725,496.360582010582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,1,1977,4,"Alabama",26725,496.360582010582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",61,1,1978,1,"Alabama",30546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",62,1,1978,2,"Alabama",30546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",63,1,1978,3,"Alabama",30546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,1,1978,4,"Alabama",30546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",65,1,1979,1,"Alabama",33712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",66,1,1979,2,"Alabama",33712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,1,1979,3,"Alabama",33712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",68,1,1979,4,"Alabama",33712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",69,1,1980,1,"Alabama",36142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",70,1,1980,2,"Alabama",36142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,1,1980,3,"Alabama",36142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",72,1,1980,4,"Alabama",36142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",73,1,1981,1,"Alabama",40257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",74,1,1981,2,"Alabama",40257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",75,1,1981,3,"Alabama",40257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,1,1981,4,"Alabama",40257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",77,1,1982,1,"Alabama",41778,756.445350318471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",78,1,1982,2,"Alabama",41778,756.445350318471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",79,1,1982,3,"Alabama",41778,756.445350318471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,1,1982,4,"Alabama",41778,756.445350318471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",81,1,1983,1,"Alabama",45679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",82,1,1983,2,"Alabama",45679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",83,1,1983,3,"Alabama",45679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",84,1,1983,4,"Alabama",45679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",85,1,1984,1,"Alabama",50010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",86,1,1984,2,"Alabama",50010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",87,1,1984,3,"Alabama",50010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",88,1,1984,4,"Alabama",50010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",89,1,1985,1,"Alabama",53824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",90,1,1985,2,"Alabama",53824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",91,1,1985,3,"Alabama",53824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",92,1,1985,4,"Alabama",53824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",93,1,1986,1,"Alabama",56134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",94,1,1986,2,"Alabama",56134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",95,1,1986,3,"Alabama",56134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",96,1,1986,4,"Alabama",56134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",97,1,1987,1,"Alabama",60752,1112.94645080946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",98,1,1987,2,"Alabama",60752,1112.94645080946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",99,1,1987,3,"Alabama",60752,1112.94645080946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",100,1,1987,4,"Alabama",60752,1112.94645080946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",101,1,1988,1,"Alabama",66008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",102,1,1988,2,"Alabama",66008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",103,1,1988,3,"Alabama",66008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",104,1,1988,4,"Alabama",66008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",105,1,1989,1,"Alabama",68394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",106,1,1989,2,"Alabama",68394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",107,1,1989,3,"Alabama",68394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",108,1,1989,4,"Alabama",68394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",109,1,1990,1,"Alabama",71610,NA,NA,NA,4050055,86586,1571410,1572535,1581994,7832159837,0,382
"110",110,1,1990,2,"Alabama",71610,NA,NA,NA,4050055,86188,1599077,1610310,1618397,8107228382,0,388
"111",111,1,1990,3,"Alabama",71610,NA,NA,NA,4050055,86799,1599355,1604376,1611040,8102930357,0,388
"112",112,1,1990,4,"Alabama",71610,NA,NA,NA,4050055,87915,1612133,1614907,1615504,8725347965,0,416
"113",113,1,1991,1,"Alabama",76043,NA,NA,NA,4099156,91626,1581388,1580574,1590768,8165870493,0,396
"114",114,1,1991,2,"Alabama",76043,NA,NA,NA,4099156,91880,1598886,1607915,1611020,8424720751,0,404
"115",115,1,1991,3,"Alabama",76043,NA,NA,NA,4099156,93501,1602156,1608671,1618970,8491170122,0,406
"116",116,1,1991,4,"Alabama",76043,NA,NA,NA,4099156,93138,1624888,1626229,1628008,9137622565,0,432
"117",117,1,1992,1,"Alabama",81260,1443.28605943465,NA,NA,4154014,92864,1602304,1605548,1616322,8663062994,0,414
"118",118,1,1992,2,"Alabama",81260,1443.28605943465,NA,NA,4154014,93828,1630120,1640104,1643646,8868612807,0,416
"119",119,1,1992,3,"Alabama",81260,1443.28605943465,NA,NA,4154014,94361,1633140,1639788,1650256,9019976119,0,423
"120",120,1,1992,4,"Alabama",81260,1443.28605943465,NA,NA,4154014,94872,1664189,1666582,1672282,10067938420,0,464
"121",121,1,1993,1,"Alabama",84563,NA,NA,NA,4214202,94748,1642645,1651677,1658123,8892315786,0,414
"122",122,1,1993,2,"Alabama",84563,NA,NA,NA,4214202,95826,1677580,1681881,1688270,9390905846,0,429
"123",123,1,1993,3,"Alabama",84563,NA,NA,NA,4214202,96799,1678209,1680657,1690090,9576449027,0,438
"124",124,1,1993,4,"Alabama",84563,NA,NA,NA,4214202,97558,1698417,1700770,1705914,10415914247,0,471
"125",125,1,1994,1,"Alabama",90098,NA,NA,NA,4260229,97704,1663550,1670147,1684279,9495415640,0,437
"126",126,1,1994,2,"Alabama",90098,NA,NA,NA,4260229,98846,1702253,1708454,1718016,9867996154,0,444
"127",127,1,1994,3,"Alabama",90098,NA,NA,NA,4260229,99852,1707393,1720249,1738678,10304945571,0,460
"128",128,1,1994,4,"Alabama",90098,NA,NA,NA,4260229,101048,1734999,1744825,1753888,10839488483,0,478
"129",129,1,1995,1,"Alabama",95819,NA,NA,NA,4296800,100664,1726766,1730273,1744145,10489205579,0,465
"130",130,1,1995,2,"Alabama",95819,NA,NA,NA,4296800,101612,1750707,1757621,1768744,10520583727,0,460
"131",131,1,1995,3,"Alabama",95819,NA,NA,NA,4296800,101203,1753351,1761763,1773767,10637286887,0,464
"132",132,1,1995,4,"Alabama",95819,NA,NA,NA,4296800,102638,1771328,1781108,1785963,11323176597,0,489
"133",133,1,1996,1,"Alabama",100146,NA,NA,NA,4331102,102800,1749482,1753075,1766693,10857064315,0,475
"134",134,1,1996,2,"Alabama",100146,NA,NA,NA,4331102,103131,1776900,1785016,1789276,10982614564,0,474
"135",135,1,1996,3,"Alabama",100146,NA,NA,NA,4331102,104818,1772621,1781571,1791666,11114714632,0,480
"136",136,1,1996,4,"Alabama",100146,NA,NA,NA,4331102,106058,1798989,1808028,1811107,11992235070,0,511
"137",137,1,1997,1,"Alabama",104218,1842.06134259259,NA,NA,4367935,106656,1778728,1783471,1800578,11544994096,0,497
"138",138,1,1997,2,"Alabama",104218,1842.06134259259,NA,NA,4367935,107278,1810523,1820518,1824109,11511141329,0,487
"139",139,1,1997,3,"Alabama",104218,1842.06134259259,NA,NA,4367935,108130,1810430,1817775,1828346,11993849419,0,507
"140",140,1,1997,4,"Alabama",104218,1842.06134259259,NA,NA,4367935,107711,1832363,1834294,1840632,12783653406,0,536
"141",141,1,1998,1,"Alabama",109414,NA,NA,NA,4404701,109051,1812183,1819378,1833249,12000465546,0,507
"142",142,1,1998,2,"Alabama",109414,NA,NA,NA,4404701,111052,1853553,1861094,1870083,12168058508,0,503
"143",143,1,1998,3,"Alabama",109414,NA,NA,NA,4404701,110660,1850435,1852414,1863597,12335737040,0,511
"144",144,1,1998,4,"Alabama",109414,NA,NA,NA,4404701,110696,1867135,1870228,1876894,13640176043,0,561
"145",145,1,1999,1,"Alabama",115015,NA,NA,NA,4430141,112198,1821912,1833310,1846858,12391115036,0,520
"146",146,1,1999,2,"Alabama",115015,NA,NA,NA,4430141,110669,1867537,1873404,1879812,12750324605,0,523
"147",147,1,1999,3,"Alabama",115015,NA,NA,NA,4430141,110601,1868622,1872670,1881585,13110302754,0,538
"148",148,1,1999,4,"Alabama",115015,NA,NA,NA,4430141,110926,1882054,1887314,1895251,14266090148,0,581
"149",149,1,2000,1,"Alabama",116265,NA,NA,NA,4452173,111636,1848537,1854259,1872397,13403734922,0,555
"150",150,1,2000,2,"Alabama",116265,NA,NA,NA,4452173,112724,1875646,1889665,1889487,13352245393,0,545
"151",151,1,2000,3,"Alabama",116265,NA,NA,NA,4452173,114305,1872469,1880624,1886538,13347775642,0,546
"152",152,1,2000,4,"Alabama",116265,NA,NA,NA,4452173,115035,1876517,1883288,1886692,14332216701,0,586
"153",153,1,2001,1,"Alabama",120291,NA,NA,NA,4467634,109424,1841425,1847584,1859295,13800918353,7560076950,574
"154",154,1,2001,2,"Alabama",120291,NA,NA,NA,4467634,112308,1863915,1868405,1870027,13723136063,2888289133,565
"155",155,1,2001,3,"Alabama",120291,NA,NA,NA,4467634,113730,1848814,1853794,1853766,13676907441,1600370822,568
"156",156,1,2001,4,"Alabama",120291,NA,NA,NA,4467634,113963,1845996,1850040,1850482,14621134950,1301070591,608
"157",157,1,2002,1,"Alabama",125567,2173.26185152057,NA,NA,4480089,111623,1807198,1812994,1827231,13913333057,7480313228,589
"158",158,1,2002,2,"Alabama",125567,2173.26185152057,NA,NA,4480089,113519,1832782,1839692,1838317,14000862875,2772430042,586
"159",159,1,2002,3,"Alabama",125567,2173.26185152057,NA,NA,4480089,112089,1824630,1832529,1835841,14023657468,1573366741,589
"160",160,1,2002,4,"Alabama",125567,2173.26185152057,NA,NA,4480089,112019,1834430,1841415,1840383,15109278335,1301469991,632
"161",161,1,2003,1,"Alabama",132145,NA,NA,NA,4503491,110312,1805118,1808877,1819489,14417769158,7543019809,612
"162",162,1,2003,2,"Alabama",132145,NA,NA,NA,4503491,110906,1824323,1828372,1828621,14316994607,2702163241,603
"163",163,1,2003,3,"Alabama",132145,NA,NA,NA,4503491,111574,1813594,1820854,1826012,14364734816,1507901248,607
"164",164,1,2003,4,"Alabama",132145,NA,NA,NA,4503491,112096,1831551,1836368,1839697,15684719988,1311485783,657
"165",165,1,2004,1,"Alabama",141366,2334.96586879433,10725.216,7970.805,4530729,113064,1812113,1820339,1835473,14826289103,7660578236,626
"166",166,1,2004,2,"Alabama",141366,2334.96586879433,10725.216,7970.805,4530729,113903,1848707,1854843,1860474,14937275177,2777870092,620
"167",167,1,2004,3,"Alabama",141366,2334.96586879433,10725.216,7970.805,4530729,114496,1852176,1854769,1858635,15175021760,1613382869,629
"168",168,1,2004,4,"Alabama",141366,2334.96586879433,10725.216,7970.805,4530729,116279,1865880,1875902,1881913,16937194681,1408367172,695
"169",169,1,2005,1,"Alabama",153332,2565.63658609621,11606.43,8477.17,4569805,116038,1849568,1859588,1874595,15520306577,7908085472,641
"170",170,1,2005,2,"Alabama",155940,2565.63658609621,11606.43,8477.17,4569805,116671,1892443,1897678,1901255,15886280032,2874615562,644
"171",171,1,2005,3,"Alabama",157437,2565.63658609621,11606.43,8477.17,4569805,117348,1889789,1897890,1907760,16504392493,1743001558,669
"172",172,1,2005,4,"Alabama",160293,2565.63658609621,11606.43,8477.17,4569805,118198,1911553,1923976,1929291,17638247493,1541840268,706
"173",173,1,2006,1,"Alabama",161934,2774.44337240804,12718.359,9171.986,4628981,115496,1893993,1905295,1923381,17148687580,8442091642,692
"174",174,1,2006,2,"Alabama",163974,2774.44337240804,12718.359,9171.986,4628981,116096,1927613,1933314,1943575,16924316291,2789213079,673
"175",175,1,2006,3,"Alabama",165470,2774.44337240804,12718.359,9171.986,4628981,117903,1921127,1929682,1938465,17121100936,1684511616,682
"176",176,1,2006,4,"Alabama",166495,2774.44337240804,12718.359,9171.986,4628981,120274,1932415,1942505,1948005,18616536324,1452023095,738
"177",177,1,2007,1,"Alabama",166821,2891,13770.676,9893.848,4672840,119094,1922278,1933638,1951005,18029966144,8649093575,717
"178",178,1,2007,2,"Alabama",169261,2891,13770.676,9893.848,4672840,119238,1948621,1956400,1965923,17740417205,2789121709,697
"179",179,1,2007,3,"Alabama",171456,2891,13770.676,9893.848,4672840,120089,1941201,1950747,1959101,17928080579,1696881505,707
"180",180,1,2007,4,"Alabama",172156,2891,13770.676,9893.848,4672840,121894,1958298,1966841,1971042,19489309662,1498381522,763
"181",181,1,2008,1,"Alabama",171941,2972,14261.387,10041.056,4718206,120824,1930979,1938425,1946153,18619334189,8783031345,739
"182",182,1,2008,2,"Alabama",174068,2972,14261.387,10041.056,4718206,121341,1952476,1956284,1956613,18301428958,2702980929,720
"183",183,1,2008,3,"Alabama",174268,2972,14261.387,10041.056,4718206,121093,1934059,1935458,1936076,18383344282,1567387910,731
"184",184,1,2008,4,"Alabama",170307,2972,14261.387,10041.056,4718206,122678,1926470,1915936,1908941,19704093895,1264743144,791
"185",185,1,2009,1,"Alabama",168708,2849,13376.146,10633.02,4757938,117705,1848047,1841869,1842217,17656489350,8236231300,737
"186",186,1,2009,2,"Alabama",167954,2849,13376.146,10633.02,4757938,117312,1843490,1842890,1839326,17556824703,2442044119,733
"187",187,1,2009,3,"Alabama",168176,2849,13376.146,10633.02,4757938,116850,1817863,1814449,1815560,17570824412,1306344393,744
"188",188,1,2009,4,"Alabama",168420,2849,13376.146,10633.02,4757938,119061,1810987,1818418,1818722,19337233316,1111217317,819
"189",189,1,2010,1,"Alabama",170249,2835,13854.303,10752.059,4785492,116031,1781960,1785819,1802394,17110385633,7939811148,735
"190",190,1,2010,2,"Alabama",173562,2835,13854.303,10752.059,4785492,116232,1814999,1830712,1832379,17808125769,2544893942,750
"191",191,1,2010,3,"Alabama",177097,2835,13854.303,10752.059,4785492,116523,1813479,1811091,1814577,18234208078,1469704375,774
"192",192,1,2010,4,"Alabama",177933,2835,13854.303,10752.059,4785492,118525,1819670,1825672,1825110,19897683564,1238224375,839
"193",193,1,2011,1,"Alabama",176898,2894,14391.718,10977.434,4799918,115650,1781552,1795047,1809150,17858373677,8067223343,765
"194",194,1,2011,2,"Alabama",179679,2894,14391.718,10977.434,4799918,115927,1818220,1821785,1824741,18184264686,2476050922,768
"195",195,1,2011,3,"Alabama",181916,2894,14391.718,10977.434,4799918,116093,1805952,1811349,1822467,18926588375,1484052591,803
"196",196,1,2011,4,"Alabama",184166,2894,14391.718,10977.434,4799918,118172,1817587,1826182,1827929,19721435793,1202234641,832
"197",197,1,2012,1,"Alabama",185386,2964,13998.567,10698.564,4815960,114985,1792586,1803516,1822261,18961037466,8345100128,808
"198",198,1,2012,2,"Alabama",187043,2964,13998.567,10698.564,4815960,115408,1831556,1837223,1842269,18706202129,2401583568,783
"199",199,1,2012,3,"Alabama",185204,2964,13998.567,10698.564,4815960,116221,1817441,1827151,1833423,18618894975,1454523556,784
"200",200,1,2012,4,"Alabama",185881,2964,13998.567,10698.564,4815960,118318,1835976,1847995,1847584,20482667324,1223521473,855
"201",201,1,2013,1,"Alabama",189436,3015,14420.514,11020.617,4829479,114751,1810179,1824060,1838385,19262037327,8485459627,812
"202",202,1,2013,2,"Alabama",189037,3015,14420.514,11020.617,4829479,115396,1847422,1855837,1860037,19127920854,2409750543,793
"203",203,1,2013,3,"Alabama",191125,3015,14420.514,11020.617,4829479,116015,1835940,1844020,1847420,19032246327,1456163459,795
"204",204,1,2013,4,"Alabama",191678,3015,14420.514,11020.617,4829479,118069,1849809,1860805,1867114,20580403343,1255043305,851
"205",205,1,2014,1,"Alabama",189865,3004,14813.338,10848.452,4843214,116272,1827805,1833319,1849342,19712038920,8571763096,826
"206",206,1,2014,2,"Alabama",193005,3004,14813.338,10848.452,4843214,117167,1862944,1870239,1874093,19585988875,2452488900,806
"207",207,1,2014,3,"Alabama",196565,3004,14813.338,10848.452,4843214,117243,1856219,1866000,1871498,19765606878,1545673328,815
"208",208,1,2014,4,"Alabama",196544,3004,14813.338,10848.452,4843214,119125,1876685,1884164,1890424,21604718314,1347680314,882
"209",209,1,2015,1,"Alabama",197643,3144,15785.973,11353.184,4853875,117333,1852589,1863201,1872924,20434225459,8731881238,844
"210",210,1,2015,2,"Alabama",200163,3144,15785.973,11353.184,4853875,118371,1887032,1897134,1899809,20176907621,2537341445,819
"211",211,1,2015,3,"Alabama",201941,3144,15785.973,11353.184,4853875,119375,1887412,1892580,1896079,20394087151,1595484351,829
"212",212,1,2015,4,"Alabama",201938,3144,15785.973,11353.184,4853875,121924,1904122,1912631,1918570,22685305813,1424684449,913
"213",213,1,2016,1,"Alabama",202875,NA,NA,NA,4863300,120632,1881542,1891642,1902421,20680274678,8965978320,841
"214",214,1,2016,2,"Alabama",205384,NA,NA,NA,4863300,121684,1920041,1922133,1923534,20863342307,2587109102,835
"215",215,1,2016,3,"Alabama",205963,NA,NA,NA,4863300,122463,1911347,1917193,1924805,21699725501,1657522158,870
"216",216,1,2016,4,"Alabama",208281,NA,NA,NA,4863300,124462,1924334,1931331,1933347,22623297164,1407719975,902
"217",217,1,2017,1,"Alabama",211741,NA,NA,NA,NA,122890,1902768,1916485,1928042,22243596324,9293657920,893
"218",218,1,2017,2,"Alabama",213657,NA,NA,NA,NA,124206,1934306,1940785,1946409,21656378517,2504188678,858
"219",219,1,2017,3,"Alabama",216094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",220,2,1963,1,"Alaska",1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",221,2,1963,2,"Alaska",1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",222,2,1963,3,"Alaska",1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",223,2,1963,4,"Alaska",1083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",224,2,1964,1,"Alaska",1230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",225,2,1964,2,"Alaska",1230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",226,2,1964,3,"Alaska",1230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",227,2,1964,4,"Alaska",1230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",228,2,1965,1,"Alaska",1374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",229,2,1965,2,"Alaska",1374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",230,2,1965,3,"Alaska",1374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",231,2,1965,4,"Alaska",1374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",232,2,1966,1,"Alaska",1494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",233,2,1966,2,"Alaska",1494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",234,2,1966,3,"Alaska",1494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",235,2,1966,4,"Alaska",1494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",236,2,1967,1,"Alaska",1643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
